stato0,stato1,profit1,profit2,profit3,price_chosen
6.0,9.0,-2073053.0,-3981760.0,-64355.77232503053,573.7886178346938
2.0,2.0,-340013.0,-465728.0,229589.3929536105,475.74734490803644
9.0,7.0,-2749424.0,-2197471.0,-67798.50403203885,573.7886178346938
5.0,0.0,-963094.0,291448.0,-1157630.767659251,705.5328013839551
8.0,1.0,-1820190.0,331744.0,-51732.4227326673,573.7886178346938
4.0,2.0,-403964.0,-388304.0,-1128703.922802509,705.5328013839551
1.0,4.0,226600.0,-997970.0,18082.50390331773,523.0380261533994
8.0,1.0,-2743782.0,44009.0,-28780.878019279568,573.7886178346938
9.0,5.0,-1982750.0,-1705669.0,-71241.23573904694,573.7886178346938
0.0,5.0,518814.0,-1320726.0,300000.0,523.0380261533994
8.0,5.0,-2701872.0,-717753.0,300000.0,86.80751886403931
0.0,0.0,-397933.0,669424.0,-19026.471516089747,573.7886178346938
8.0,7.0,-2230984.0,-1831974.0,299999.9999999999,378.9995782104062
9.0,0.0,-3353120.0,567797.0,-1070850.2330890247,705.5328013839551
9.0,8.0,-2517753.0,-1542331.0,-1083549.8235139358,705.5328013839551
5.0,4.0,-1223132.0,-242542.0,299999.9999999999,378.9995782104062
1.0,6.0,424160.0,-1268693.0,-1966473.6473902706,817.3363315507647
0.0,9.0,965772.0,-3447986.0,-1741706.1562138102,817.3363315507647
6.0,7.0,-2610848.0,-490824.0,300000.0,86.80751886403931
7.0,7.0,-2808007.0,-1430128.0,-1332602.9024024722,705.5328013839551
9.0,8.0,-2821740.0,-1939542.0,-1122354.1275900535,705.5328013839551
8.0,3.0,-1830359.0,-914051.0,122070.49300439446,475.74734490803644
0.0,4.0,349164.0,-159109.0,-60140.74009538372,475.74734490803644
2.0,9.0,209614.0,-2969750.0,300000.0,317.5037515805274
6.0,2.0,-1118337.0,110149.0,138245.9027312675,475.74734490803644
9.0,2.0,-2179814.0,-307579.0,-973581.9427935698,632.0505919571066
8.0,4.0,-1663860.0,198534.0,-965365.2850981273,632.0505919571066
1.0,9.0,131845.0,-3668658.0,300000.0,429.0224458086538
4.0,7.0,-1051220.0,-2446594.0,198750.70278915763,429.0224458086538
7.0,1.0,-1289595.0,227682.0,-699271.9858841854,632.0505919571066
7.0,3.0,-2207469.0,-203280.0,242910.3186110356,475.74734490803644
8.0,7.0,-3066750.0,-2495088.0,299999.9999999999,378.9995782104062
0.0,0.0,311480.0,272349.0,-526090.1236879383,632.0505919571066
5.0,2.0,-759800.0,89776.0,-1190790.8093242971,705.5328013839551
3.0,7.0,137876.0,-2246901.0,-574125.9686766784,632.0505919571066
0.0,5.0,-35096.0,-950431.0,300000.0,86.80751886403931
3.0,1.0,-554352.0,99399.0,300000.0,317.5037515805274
0.0,7.0,376932.0,-1988251.0,299999.9999999999,378.9995782104062
2.0,0.0,-553392.0,268092.0,300000.0,429.0224458086538
7.0,3.0,-2155027.0,-415436.0,300000.0,475.74734490803644
1.0,1.0,-96330.0,-517229.0,300000.0,523.0380261533994
0.0,0.0,104644.0,298942.0,300000.0,523.0380261533994
9.0,0.0,-2984595.0,425896.0,300000.0,86.80751886403931
9.0,6.0,-2371564.0,-1332711.0,288582.0637222072,475.74734490803644
7.0,4.0,-1024786.0,-1250172.0,300000.0,317.5037515805274
8.0,9.0,-1407260.0,-3244320.0,299999.9999999999,378.9995782104062
2.0,6.0,-228648.0,-1520676.0,300000.0,86.80751886403931
6.0,8.0,-1727736.0,-2190464.0,300000.0,317.5037515805274
8.0,0.0,-2322748.0,279046.0,300000.0,475.74734490803644
0.0,9.0,387288.0,-2777765.0,300000.0,86.80751886403931
4.0,5.0,-712685.0,-1138068.0,-276657.5609238674,573.7886178346938
7.0,7.0,-1608880.0,-1188889.0,-1434905.1586031455,705.5328013839551
2.0,2.0,-182735.0,-7950.0,194384.089430416,475.74734490803644
0.0,8.0,370104.0,-2472600.0,300000.0,86.80751886403931
9.0,3.0,-2053903.0,-50076.0,300000.0,429.0224458086538
6.0,3.0,-814128.0,-397600.0,-1042475.4573168943,632.0505919571066
7.0,3.0,-1153120.0,-781664.0,173451.20625446225,475.74734490803644
7.0,7.0,-2222779.0,-2643893.0,-411497.8861150204,573.7886178346938
9.0,3.0,-1793336.0,-234400.0,300000.0,429.0224458086538
9.0,3.0,-3970733.0,-469480.0,300000.0,429.0224458086538
5.0,7.0,-508586.0,-1194444.0,-1456071.1426446643,705.5328013839551
8.0,0.0,-2338070.0,368913.0,300000.0,475.74734490803644
5.0,2.0,-1193930.0,-204240.0,-962205.0321383418,632.0505919571066
3.0,7.0,202982.0,-2542340.0,-1404567.2481436355,705.5328013839551
0.0,4.0,436536.0,333042.0,-1921520.1491549783,817.3363315507647
8.0,8.0,-1459428.0,-2422426.0,300000.0,317.5037515805274
1.0,0.0,-577831.0,246330.0,-535570.8825672949,632.0505919571066
0.0,9.0,406076.0,-3371202.0,300000.0,317.5037515805274
8.0,5.0,-2855698.0,-1255287.0,300000.0,86.80751886403931
7.0,9.0,-1594687.0,-3130143.0,-1995897.755326098,817.3363315507647
9.0,1.0,-2136748.0,211425.0,300000.0,523.0380261533994
3.0,9.0,155233.0,-2295079.0,89779.00155375968,429.0224458086538
7.0,5.0,-1241269.0,-422415.0,300000.0,86.80751886403931
9.0,8.0,-2127412.0,-1626534.0,-1117415.397980366,705.5328013839551
